SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0.5532302205040753,0.32132387688511255,0.5581776365459407,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0.06430268518835193,1.3849228306110335,0.5586188245699782,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,-0.8728084241667845,1.0857856248756181,-0.5196447061780292,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,-0.9135523854430948,-0.5096128057132632,-0.7975931613217463,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1.5310852911355222,0.1551365403654374,1.1423105803717843,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
0,-0.6283446565089229,-1.4734993575273791,-0.8227408786918922,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,1.24587756220135,0.4875112134047877,1.1374575121073702,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0
0,-0.791320501614164,0.3877988114929826,-0.5743520211586973,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
0,0.6754621043330061,0.6536985499244629,0.7161229491514179,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-1.2395040756535771,-0.5096128057132632,-0.9643622344079766,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-1.2395040756535771,0.5207486807087227,-0.9436263972782073,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0.797693988161937,0.4875112134047877,0.853332424627126,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
0,1.4903413298592119,-0.011050796154237758,0.8696563815165189,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
1,0.4309983366751445,0.853123353748073,0.6861221635168581,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,-0.7098325790615434,1.1522605594834883,-0.37802335046194474,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
1,-0.3023929662984406,0.1551365403654374,-0.23419605462567206,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
1,-0.9950403079957154,0.5207486807087227,-0.7278854535237982,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,1.1236456783724194,0.32132387688511255,0.9587763623721234,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0
1,-0.5876006952326126,1.0193106902677482,-0.23419605462567206,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,1.24587756220135,1.1522605594834883,1.7771801469619573,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
1,1.368109446030281,1.4513977652189036,2.1146889853507567,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
0,0.06430268518835193,-1.340549488311639,-0.6127353792499726,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,1.6125732136881425,1.4181602979149686,2.457492080028008,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0,0.5939741817803856,1.1854980267874233,1.0695145564055726,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,1.1236456783724194,0.819885886444138,1.3973172582655438,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1.6125732136881425,-0.7422750768408084,0.2996414544598799,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,-0.5876006952326126,-0.3434254691935881,-0.5849405337356008,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
0,-0.9542963467194051,0.9860732229638132,-0.6290593361393655,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,-1.1987601143772668,0.35456134418904756,-0.8995075948744427,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
0,0.5939741817803856,0.45427374610085264,0.6031788149977805,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,-0.05792919864057891,0.4875112134047877,0.0944890232823744,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0.7162060656093164,-1.4734993575273791,-0.5968526103846173,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,-0.9135523854430948,0.4875112134047877,-0.6158236954182361,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,-1.2802480369298874,-0.5096128057132632,-0.9855392595617837,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.797693988161937,-1.4734993575273791,-0.5262625265385938,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,1.2866215234776603,1.5511101671307086,2.1248363099036225,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,1.2051336009250397,-1.340549488311639,-0.37890572651002,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0,-1.1987601143772668,-0.011050796154237758,-0.9290671924849649,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0.9606698332671781,1.5178726998267735,1.7012958068274822,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
0,0.5532302205040753,-0.310188001889653,0.17875593587356484,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,-0.9950403079957154,-0.3434254691935881,-0.7945048451534829,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-0.09867315991688919,0.32132387688511255,-0.07580955399615706,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,0.512486259227765,-1.3073120210077038,-0.47067283550985045,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,-1.2802480369298874,0.4875112134047877,-0.9723036188406543,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,-0.8728084241667845,-0.47637533840932816,-0.7578862391583582,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,-1.0357842692720256,0.35456134418904756,-0.7883282128169558,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0.3902543753988342,1.2852104286992283,0.9018631072712671,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0.6754621043330061,-1.4734993575273791,-0.5778815253509985,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0,-0.9542963467194051,1.1522605594834883,-0.602146866673069,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
0,0.10504664646466222,-0.07752573076210782,-0.029925999496241848,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0.6347181430566958,-1.4734993575273791,-0.5408217313318362,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0.5532302205040753,-1.506736824831314,-0.5981761744567302,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,-0.13941712119319946,-1.0414122825762238,-0.5619987564856432,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,-0.09867315991688919,0.5872236153165927,0.12669574903712258,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.2802480369298874,0.32132387688511255,-0.9745095589608425,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1.368109446030281,0.6536985499244629,1.5137908966114824,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1.3273654847539706,1.5511101671307086,2.1283658140959236,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,1.6125732136881425,1.1854980267874233,2.2836639985571754,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0
0,-0.8320644628904743,0.45427374610085264,-0.5981761744567302,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1.5718292524118322,0.0554241384536323,1.087603265391116,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0,-1.1172721918246462,-1.440261890223444,-0.9573032260233743,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0.797693988161937,-1.440261890223444,-0.5187623301299539,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
1,-0.3023929662984406,1.1190230921795532,0.10198921969101438,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,-1.2802480369298874,-1.4734993575273791,-0.9983337122588753,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-1.2802480369298874,-1.506736824831314,-0.998774900282913,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
0,0.22727853029359305,1.0193106902677482,0.5833253539160864,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,1.368109446030281,-0.6425626749290033,0.3283186760223269,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1.4495973685829016,1.5178726998267735,2.3507245782108974,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,-1.1172721918246462,-1.340549488311639,-0.9630386703358637,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1.6125732136881425,1.3184478960031634,2.2148386668073026,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
0,-0.01718523736426863,-1.1411246844880287,-0.5981761744567302,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.4309983366751445,0.9860732229638132,0.7227407695119826,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
0,1.6125732136881425,-1.506736824831314,-0.40581819597631646,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,0.9199258719908678,1.052548157571683,1.3037853971695628,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0.797693988161937,-0.24371306728178296,0.3349364963828916,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,0.4309983366751445,0.8863608210520081,0.737299974305225,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0.18653456901728277,0.3877988114929826,0.25816978020034115,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1.2866215234776603,-0.3434254691935881,0.5030291335412348,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
0,-1.1987601143772668,0.819885886444138,-0.8977428427782921,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0.1457906077409725,-1.1078872171840937,-0.5103797576732386,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,-0.9135523854430948,1.1854980267874233,-0.5377334151635726,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,0.3495104141225239,-1.4734993575273791,-0.6387654726681937,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,-0.22090504374582004,0.6869360172283978,-0.05816203303465121,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0,0.9606698332671781,1.1522605594834883,1.4259944798279909,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0
0,-1.076528230548336,-1.4734993575273791,-0.957744414047412,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-1.1987601143772668,0.32132387688511255,-0.9061254152350073,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,-1.0357842692720256,-0.47637533840932816,-0.8527416643264522,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-1.1580161531009565,-1.4734993575273791,-0.9798038152492943,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0.02355872391204165,0.7866484191402029,0.3283186760223269,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
1,-0.22090504374582004,0.45427374610085264,-0.06522104141925354,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0,1.6125732136881425,-1.373786955615574,-0.2469905073227638,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0,-1.2802480369298874,-1.506736824831314,-0.998774900282913,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
1,1.5718292524118322,-0.276950534585718,0.750976803050392,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
0,-0.791320501614164,0.6869360172283978,-0.4711140235338881,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-0.3023929662984406,-0.21047559997784793,-0.3444930606350836,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,1.4088534073065913,-0.47637533840932816,0.4311154856230985,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,-1.2802480369298874,-0.9749373479683536,-0.9917158918983107,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-1.2395040756535771,-0.6758001422329384,-0.9714212427925789,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.4309983366751445,-1.3073120210077038,-0.48302610018290454,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0
0,-0.38388088885106114,0.35456134418904756,-0.22272516600069325,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.2866215234776603,-1.4734993575273791,-0.443760366043554,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,1.0014137945434884,-1.506736824831314,-0.4909674846155822,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
1,-1.2802480369298874,0.18837400766937243,-0.976274311056993,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1.6125732136881425,0.7866484191402029,1.827475581702249,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0,-0.9950403079957154,0.22161147497330744,-0.7587686152064335,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,1.1643896396487294,1.2187354940913584,1.6271762187891574,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
0,1.2866215234776603,0.6536985499244629,1.3262859863954828,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1.5718292524118322,-1.373786955615574,-0.2324313025295215,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,1.3273654847539706,1.1522605594834883,1.8235048894859103,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0
0,-1.1987601143772668,-1.506736824831314,-0.9802450032733319,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,-1.2802480369298874,-0.6425626749290033,-0.9873040116579342,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,-0.09867315991688919,-0.011050796154237758,-0.15610577437100867,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,-0.7098325790615434,0.1551365403654374,-0.5346450989953092,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
0,-0.9950403079957154,0.12189907306150236,-0.7583274271823959,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
0,-1.0357842692720256,1.0193106902677482,-0.7181793169949701,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,1.5310852911355222,1.4513977652189036,2.4914635578789066,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0
0,1.2051336009250397,0.7201734845323329,1.293638072616697,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,-1.076528230548336,-1.506736824831314,-0.9573032260233743,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-0.7505765403378537,0.5207486807087227,-0.4989088690482598,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,-0.42462485012737144,0.6536985499244629,-0.20375408096707448,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,-0.42462485012737144,-1.4734993575273791,-0.8222996906678546,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
